SERV_ID,SCORE_1300,SCORE_1301,SCORE_1005,SCORE_1202,SCORE_1200,SCORE_1419,SCORE_1000,SCORE_1101,SCORE_1006,SCORE_1100,SCORE_1105,SCORE_1411,SCORE_1303,SCORE_1011,SCORE_1014,SCORE_1103,SCORE_1201,SCORE_1102,SCORE_1302,SCORE_1012,SCORE_1004,SCORE_1418,SCORE_1002,SCORE_1010,SCORE_1007,SCORE_1407,SCORE_1003,SCORE_1009,SCORE_1400,SCORE_1408,FLAG
53508,31.11,96.52,84.15,96.09,73.98,73.66,85.37,93.01,55.44,73.13,65.26,87.85,99.02,0.65,19.89,13.85,17.68,,54.06,,,99.56,,,,,,,,,1
63715,63.06,64.99,53.79,70.2,62.96,77.88,5.55,18.94,17.99,54.01,1.68,59.73,22.32,22.67,6.83,4.03,,0.0,,49.06,73.43,,2.08,,,,,,,,0
71783,28.38,16.13,16.65,14.08,7.52,22.17,,0.19,3.57,2.58,,46.54,0.15,,,1.16,,,,,,,84.52,,,27.79,,,,,0
6171,33.51,11.1,54.59,7.47,11.13,19.78,53.34,1.23,2.79,17.21,37.75,38.91,1.1,2.72,,6.34,,0.0,,,,2.27,,,,,,,,,0
227757,64.12,56.35,65.2,75.5,71.73,61.93,63.65,53.73,57.16,69.81,36.46,66.11,23.54,12.13,34.7,10.37,11.9,19.13,3.37,,1.35,3.85,38.07,2.43,,,1.29,,,,1
19062,8.27,21.0,10.32,50.58,22.8,61.22,2.65,42.51,6.62,27.7,30.15,11.09,20.74,0.15,0.37,8.41,,,,,,,,,,,,,,,0
19860,94.15,41.99,71.14,90.39,35.18,31.71,38.62,90.69,15.52,95.28,5.56,66.02,95.18,31.8,,46.89,44.66,13.47,74.18,,0.0,69.17,,,,,,,,,1
111096,31.24,48.33,35.32,49.65,55.96,32.14,51.48,25.03,12.77,39.85,17.42,86.12,25.88,,,,23.78,,,35.56,,,,,,49.39,,,,,0
9234,33.09,26.63,73.07,20.99,39.8,38.55,99.65,6.02,81.37,28.8,12.4,3.99,2.71,1.72,,11.3,2.67,,,1.47,,,,,,,,,,,1
23208,23.1,48.4,9.86,79.79,55.22,74.79,6.62,28.19,49.33,54.06,40.47,87.83,50.62,1.62,9.76,,0.0,0.0,,,,,,1.35,,35.1,,5.01,,,0
23351,41.01,40.44,43.63,67.73,73.56,89.74,41.15,66.9,63.02,51.87,19.81,21.12,87.05,7.07,,3.03,0.0,53.87,,,,,,,,,3.57,,,,0
6703,9.04,44.63,24.18,34.83,56.77,21.19,14.71,32.48,20.26,27.5,39.8,21.5,4.14,0.65,1.04,5.4,0.0,,,,,,0.35,,,,4.77,,,,0
31281,95.34,70.7,90.47,95.03,95.55,98.24,3.24,4.31,93.14,81.99,12.27,99.39,2.17,1.7,,40.61,,7.2,,,1.03,,,,,,,,,,1
177419,38.68,77.23,18.45,35.93,26.15,46.44,22.96,19.16,26.78,38.8,6.72,12.21,29.12,4.61,9.54,5.85,0.19,95.93,,,,,,,,,3.84,,,,1
16440,16.13,32.14,64.03,49.27,46.4,38.61,15.35,46.65,62.39,33.59,12.08,34.97,28.54,20.77,9.85,18.29,47.4,0.15,,,,88.21,,,,,47.47,,,,1
7206,95.04,37.55,87.08,55.12,88.06,53.27,63.21,76.87,45.8,62.37,9.23,72.45,22.53,6.17,22.59,20.22,11.03,0.0,,,,,1.34,4.53,,,,,,,1
24817,0.74,0.94,0.27,1.53,0.75,0.45,0.0,0.0,0.0,1.33,0.0,0.27,3.94,2.28,0.94,1.39,1.89,,,,,,,,,,,,,,0
34062,39.76,55.33,49.76,75.01,47.13,64.68,75.15,34.68,90.35,71.2,29.03,64.58,74.37,53.43,3.27,3.35,,2.17,,24.38,,,,93.18,,,,47.6,,,0
33675,44.81,14.52,28.37,40.78,46.38,40.28,47.63,42.62,96.88,19.63,7.09,75.81,8.0,6.96,19.02,11.81,0.0,1.53,0.39,,,6.59,,,,,,,,,1
30666,18.78,59.21,68.65,45.19,33.07,49.73,90.61,65.58,45.94,30.73,3.29,52.49,83.49,0.45,0.35,,7.96,,,,,,75.43,,3.43,84.98,,,,,0
