SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09,FLAG
50676,2HA,1.0,40.0,26,1.0,2126,8,100,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,82824.19,46115.34,56818.18,134,25,42,24,18,20,1
45245,2HA,1.0,46.0,30,1.0,3249,100,100,FTTH接入,0,0,103.5,82.5,82.5,宽带,90.0,1,81.89,89.73,76.93,20,31,27,20,27,24,0
74797,2HA,1.0,23.0,18,3.0,3937,8,8,普通接入,0,0,80.0,78.5,79.0,宽带,80.0,1,57388.0,29249.23,37832.08,38,39,37,27,29,27,0
48350,2HA,2.0,46.0,27,2.0,2552,20,20,FTTH接入,0,0,132.5,82.5,82.5,宽带,90.0,1,44388.45,26457.28,37047.17,25,20,29,24,19,25,0
52413,2HA,1.0,22.0,25,4.0,9440,4,4,普通接入,0,0,60.0,54.5,55.0,宽带,60.0,0,50875.58,46594.96,77362.56,54,35,49,28,24,29,0
57547,2HA,1.0,27.0,23,1.0,1836,100,100,FTTH接入,0,0,85.0,85.0,85.0,宽带,60.0,1,35413.33,37351.04,28105.67,12,12,11,12,12,10,0
57648,2HA,1.0,21.0,23,1.0,2043,12,20,FTTH接入,0,0,82.5,82.5,82.5,宽带,90.0,1,88368.5,94943.87,83548.49,183,148,58,26,24,22,0
30368,2HA,1.0,37.0,50,2.0,2804,20,20,LAN接入,0,0,82.5,132.5,82.5,宽带,90.0,1,45535.94,54657.45,67278.35,16,18,23,15,16,18,0
88293,2HA,1.0,30.0,10,1.0,1026,8,50,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,122.69,91.61,89.93,43,26,38,24,19,19,0
76357,2HA,2.0,33.0,18,2.0,2397,100,100,FTTH接入,0,0,279.0,80.0,80.0,宽带,80.0,1,73224.35,58429.24,68043.97,15,16,16,15,16,16,0
79559,2HA,1.0,34.0,16,1.0,1548,8,100,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,33445.99,47582.56,37120.09,12,16,17,9,11,11,1
