SERV_ID,PROD_INST_STATE,GENDER,AGE,IN_NET_DUR,STAR_LEVEL,SCORE_POINT,RECV_RATE,CONSOLIDATE_SPEND,RM_MODE_CD,MOBILE_USER_NUMBER,IPTV_USER_NUMBER,BRD_CHARGE_11,BRD_CHARGE_10,BRD_CHARGE_09,OFFER_NAME_LEV1,ZHU_OFFER_VALUE,IS_HY,BRD_MBL_FLUX_11,BRD_MBL_FLUX_10,BRD_MBL_FLUX_09,BRD_CNT_11,BRD_CNT_10,BRD_CNT_09,ACTIVE_DAY_11,ACTIVE_DAY_10,ACTIVE_DAY_09
33032,2HA,1.0,33.0,46,2.0,4028,20,20,FTTH接入,0,0,82.5,82.5,82.5,宽带,90.0,1,53017.08,60285.08,67461.41,15,19,17,15,15,16
131645,2HA,,,7,,0,4,4,FTTH接入,0,0,50.0,49.26,49.22,宽带,50.0,1,240.27,245.03,289.82,17,17,16,15,17,15
7594,2HA,1.0,40.0,84,1.0,1841,20,20,FTTH接入,0,1,70.0,70.0,70.0,宽带,60.0,1,48339.67,37096.96,24435.49,53,39,40,29,26,26
7596,2HA,2.0,32.0,84,4.0,12631,8,8,普通接入,0,0,100.0,100.0,100.0,宽带,108.0,0,49573.47,30740.59,44691.6,83,160,133,21,21,24
1890,2HA,1.0,42.0,100,1.0,3568,8,50,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,0,17622.68,27247.31,15370.85,34,31,96,30,30,29
3044,2HA,1.0,54.0,97,2.0,3835,50,50,FTTH接入,0,0,130.0,130.0,117.33,宽带,90.0,0,41924.41,36203.19,42982.53,16,16,20,16,16,18
8422,2HA,1.0,31.0,82,1.0,2053,20,20,FTTH接入,0,0,128.5,79.5,78.5,宽带,80.0,1,104.91,159.55,72.97,25,43,68,17,22,21
3995,2HA,1.0,57.0,93,2.0,3396,20,20,FTTH接入,0,0,150.0,100.0,100.0,宽带,108.0,1,14061.01,27596.74,12825.01,49,64,64,28,31,30
5548,2HA,1.0,30.0,89,,1651,8,8,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,0,15491.8,20707.13,16738.49,19,22,17,14,16,14
12025,2HA,2.0,45.0,76,1.0,3102,8,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,29158.17,16338.43,13623.21,26,20,20,21,17,17
92555,2HA,2.0,36.0,5,,0,8,8,FTTH接入,0,0,90.0,90.0,90.0,宽带,90.0,1,58861.2,81543.52,65238.5,45,25,28,29,24,26
31608,2HA,2.0,44.0,48,2.0,2591,20,50,FTTH接入,0,0,82.5,82.5,82.5,宽带,90.0,1,120901.46,111717.0,114127.47,47,28,71,23,22,22
100349,2HA,2.0,31.0,40,2.0,2726,4,4,普通接入,0,0,88.5,88.5,88.5,宽带,90.0,0,30710.6,33993.64,37720.95,115,72,72,27,29,27
13096,2HA,1.0,25.0,74,2.0,2663,100,100,FTTH接入,0,0,110.0,110.0,110.0,宽带,110.0,0,74086.53,62861.16,61262.71,27,22,24,18,15,16
51730,2HA,1.0,48.0,25,2.0,3665,8,8,FTTH接入,0,0,117.67,117.67,117.67,宽带,130.0,1,44456.11,65094.98,50944.75,49,90,42,17,25,20
365,2HA,2.0,48.0,147,2.0,2982,8,8,普通接入,0,0,60.0,60.0,60.0,宽带,60.0,1,20.41,13.3,28319.49,96,88,125,30,27,30
6264,2HA,2.0,53.0,87,2.0,3789,20,20,FTTH接入,0,0,180.08,180.08,180.08,宽带,80.0,1,9528.99,12242.4,7252.56,16,16,19,15,12,14
4840,2HA,1.0,36.0,91,2.0,4692,12,12,FTTH接入,0,0,82.5,82.5,82.5,宽带,90.0,1,97878.43,85780.38,54661.86,64,38,36,29,23,22
4893,2HA,2.0,31.0,91,1.0,2419,4,20,FTTH接入,0,0,80.0,80.0,80.0,宽带,80.0,1,32374.04,21531.79,37336.36,16,19,17,16,17,16
37291,2HA,1.0,65.0,40,2.0,2751,100,100,FTTH接入,0,1,100.28,90.0,88.74,宽带,90.0,0,50278.78,63634.85,53449.84,21,19,14,16,16,13
